class,mean,median,max,min,90percentile,std,notnans
class0,0.0035,0.0028,0.0254,0.0009,0.0055,0.0030,100.0000
class1,0.0002,0.0002,0.0032,0.0000,0.0005,0.0004,100.0000
class2,0.0001,0.0001,0.0005,0.0000,0.0002,0.0001,100.0000
class3,0.0002,0.0001,0.0007,0.0000,0.0002,0.0001,100.0000
class4,0.0001,0.0001,0.0044,0.0000,0.0002,0.0005,100.0000
class5,0.0001,0.0000,0.0015,0.0000,0.0001,0.0002,100.0000
class6,0.0009,0.0008,0.0044,0.0002,0.0014,0.0006,100.0000
class7,0.0009,0.0005,0.0212,0.0001,0.0013,0.0023,100.0000
class8,0.0003,0.0001,0.0128,0.0000,0.0003,0.0013,100.0000
class9,0.0002,0.0001,0.0004,0.0000,0.0002,0.0001,100.0000
class10,0.0003,0.0002,0.0012,0.0001,0.0005,0.0002,100.0000
class11,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,100.0000
class12,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,100.0000
class13,0.0003,0.0002,0.0016,0.0000,0.0006,0.0003,100.0000
class14,0.0003,0.0002,0.0031,0.0000,0.0005,0.0005,100.0000
class15,0.0003,0.0001,0.0047,0.0000,0.0007,0.0005,100.0000
mean,0.0005,0.0004,0.0033,0.0001,0.0008,0.0004,100.0000
