class,mean,median,max,min,90percentile,std,notnans
class0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class1,0.0200,0.0000,1.0000,0.0000,0.0000,0.1400,100.0000
class2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class3,0.0700,0.0000,1.0000,0.0000,0.0000,0.2551,100.0000
class4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class6,0.0100,0.0000,1.0000,0.0000,0.0000,0.0995,100.0000
class7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
class12,0.0100,0.0000,1.0000,0.0000,0.0000,0.0995,100.0000
class13,0.0100,0.0000,1.0000,0.0000,0.0000,0.0995,100.0000
class14,0.0300,0.0000,1.0000,0.0000,0.0000,0.1706,100.0000
mean,0.0100,0.0000,0.1333,0.0000,0.0667,0.0273,100.0000
